[driver] start G25O-R full mode3 100
[batch] run 2: success=True cleared=10 V=7107.051503 fallback=0
[batch] run 3: clicked 开始问题4演练测试, waiting runner...
[batch] run 3: success=True cleared=11 V=6954.808548 fallback=0
[batch] run 4: clicked 开始问题4演练测试, waiting runner...
[batch] run 4: success=True cleared=16 V=3863.381757 fallback=0
[batch] run 5: clicked 开始问题4演练测试, waiting runner...
[batch] run 5: success=True cleared=11 V=7587.795887 fallback=0
[batch] run 6: clicked 开始问题4演练测试, waiting runner...
[batch] run 6: success=True cleared=10 V=7440.253603 fallback=0
[batch] run 7: clicked 开始问题4演练测试, waiting runner...
[batch] run 7: success=True cleared=12 V=7186.454873 fallback=0
[batch] run 8: clicked 开始问题4演练测试, waiting runner...
[batch] run 8: success=True cleared=16 V=6416.518746 fallback=0
[batch] run 9: clicked 开始问题4演练测试, waiting runner...
[batch] run 9: success=True cleared=13 V=6842.119303 fallback=0
[batch] run 10: clicked 开始问题4演练测试, waiting runner...
[batch] run 10: success=True cleared=15 V=6924.67525 fallback=0
[batch] run 11: clicked 开始问题4演练测试, waiting runner...
[batch] run 11: success=True cleared=11 V=7331.962297 fallback=0
[batch] run 12: clicked 开始问题4演练测试, waiting runner...
[batch] run 12: success=True cleared=13 V=7500.198742 fallback=0
[batch] run 13: clicked 开始问题4演练测试, waiting runner...
[batch] run 13: success=True cleared=15 V=7469.841889 fallback=0
[batch] run 14: clicked 开始问题4演练测试, waiting runner...
[batch] run 14: success=True cleared=12 V=6910.702315 fallback=0
[batch] run 15: clicked 开始问题4演练测试, waiting runner...
[batch] run 15: success=True cleared=15 V=7227.919571 fallback=0
[batch] run 16: clicked 开始问题4演练测试, waiting runner...
[batch] run 16: success=True cleared=15 V=6823.84777 fallback=0
[batch] run 17: clicked 开始问题4演练测试, waiting runner...
[batch] run 17: success=True cleared=15 V=7654.278082 fallback=0
[batch] run 18: clicked 开始问题4演练测试, waiting runner...
[batch] run 18: success=True cleared=15 V=6875.667127 fallback=0
[batch] run 19: clicked 开始问题4演练测试, waiting runner...
