kind,mode,seed,method,variant,coverage,success,cleared,virtual_time_s,distance_m,measure_calls,switches,clear_calls,failed_clear,solver_failures,optical_fallbacks,extra_measurements,macro_steps,sources
uniform,3,93033,G25O,G25OR,S21,True,12,4480.311206347485,18611.55603173742,117,113,12,0,0,0,29,,12
uniform,3,93034,A0,G25OR,S21,True,16,6013.25549742539,26466.277487126965,110,90,16,0,0,0,0,71,16
uniform,3,93034,G25O,G25OR,S21,True,16,4049.532281349445,17077.661406747215,93,89,16,0,0,0,35,,16
uniform,3,93035,A0,G25OR,S21,True,16,6225.541497096099,27267.707485480518,118,102,16,0,0,0,0,60,16
uniform,3,93035,G25O,G25OR,S21,True,16,4949.867559984751,20869.337799923753,117,111,16,0,0,0,36,,16
uniform,3,93036,A0,G25OR,S21,True,13,6393.605575196414,27983.027875982087,126,102,13,0,0,0,0,54,13
uniform,3,93036,G25O,G25OR,S21,True,13,4575.165750125949,18890.828750629746,123,117,13,0,0,0,31,,13
uniform,3,93037,A0,G25OR,S21,True,14,4795.974603575065,20324.873017875318,112,101,14,0,0,0,0,51,14
uniform,3,93037,G25O,G25OR,S21,True,14,3879.9581527745763,15649.790763872883,114,110,14,0,0,0,32,,14
uniform,3,93038,A0,G25OR,S21,True,11,5225.596507669321,22567.982538346616,112,97,11,0,0,0,0,50,11
uniform,3,93038,G25O,G25OR,S21,True,11,3439.68967337522,13753.448366876102,106,104,11,0,0,0,26,,11
uniform,3,93039,A0,G25OR,S21,True,11,5275.159376519761,22795.796882598814,113,96,11,0,0,0,0,47,11
uniform,3,93039,G25O,G25OR,S21,True,11,4302.757987141718,17813.78993570859,115,110,11,0,0,0,31,,11
uniform,3,93040,A0,G25OR,S21,True,14,6076.489570263093,26862.447851315465,109,89,14,0,0,0,0,59,14
uniform,3,93040,G25O,G25OR,S21,True,14,4171.177762832502,17340.888814162514,106,103,14,0,0,0,35,,14
uniform,3,93041,A0,G25OR,S21,True,14,5657.207886001526,24666.039430007637,112,94,14,0,0,0,0,56,14
uniform,3,93041,G25O,G25OR,S21,True,14,4646.701278335404,19658.506391677012,108,105,14,0,0,0,31,,14
uniform,3,93042,A0,G25OR,S21,True,14,5835.899604812694,25539.498024063472,113,93,14,0,0,0,0,60,14
uniform,3,93042,G25O,G25OR,S21,True,14,4231.445886732237,17592.22943366119,108,103,14,0,0,0,34,,14
uniform,3,93043,A0,G25OR,S21,True,10,4516.823426248077,18879.117131240393,118,101,10,0,0,0,0,41,10
uniform,3,93043,G25O,G25OR,S21,True,10,3930.9411558237466,15894.705779118736,118,112,10,0,0,0,24,,10
uniform,3,93044,A0,G25OR,S21,True,12,5384.880660732927,23354.403303664632,111,99,12,0,0,0,0,53,12
uniform,3,93044,G25O,G25OR,S21,True,12,3826.4060081828857,15697.030040914427,105,102,12,0,0,0,28,,12
uniform,3,93045,A0,G25OR,S21,True,10,4941.875139595897,20844.375697979474,123,108,10,0,0,0,0,49,10
uniform,3,93045,G25O,G25OR,S21,True,10,3562.6606145859914,14163.303072929957,114,110,10,0,0,0,23,,10
uniform,3,93046,A0,G25OR,S21,True,11,4980.706002097864,21278.53001048932,114,100,11,0,0,0,0,44,11
uniform,3,93046,G25O,G25OR,S21,True,11,4026.6235233599227,16423.11761679961,115,112,11,0,0,0,27,,11
uniform,3,93047,A0,G25OR,S21,True,12,5341.596697730014,23032.983488650058,115,100,12,0,0,0,0,49,12
uniform,3,93047,G25O,G25OR,S21,True,12,3865.5762910898247,15777.881455449127,109,105,12,0,0,0,24,,12
uniform,3,93048,A0,G25OR,S21,True,11,4994.201671201858,21311.008356009283,115,102,11,0,0,0,0,46,11
uniform,3,93048,G25O,G25OR,S21,True,11,4017.0527879519173,16430.26393975959,113,108,12,1,0,0,26,,11
uniform,3,93049,A0,G25OR,S21,True,16,6236.897281921987,27189.486409609934,123,104,16,0,0,0,0,65,16
uniform,3,93049,G25O,G25OR,S21,True,16,4262.957104450157,17444.785522250782,117,109,16,0,0,0,36,,16
uniform,4,93000,A0,G25OR,S21,True,16,16701.866973699285,69389.33486849592,317,262,315,299,0,5,0,114,16
uniform,4,93000,G25O,G25OR,S21,True,16,4936.943878994017,19984.71939497009,147,125,16,0,0,0,54,,16
uniform,4,93001,A0,G25OR,S21,True,13,14117.913480014677,57199.56740007317,349,295,204,191,0,3,0,92,13
uniform,4,93001,G25O,G25OR,S21,True,13,6875.303493203343,26986.517466016718,238,223,13,0,0,0,46,,13
uniform,4,93002,A0,G25OR,S21,True,15,15414.045857165494,62770.22928582722,343,293,274,259,0,3,0,96,15
uniform,4,93002,G25O,G25OR,S21,True,15,6766.259949251942,26746.299746259712,225,217,15,0,0,0,51,,15
uniform,4,93003,A0,G25OR,S21,True,13,12757.292759764676,50851.46379882322,344,301,180,167,0,2,0,76,13
uniform,4,93003,G25O,G25OR,S21,True,13,6339.699217539859,24448.496087699292,232,225,13,0,0,0,41,,13
uniform,4,93004,A0,G25OR,S21,True,16,13855.086682971103,58440.433414855324,272,223,184,168,0,2,0,95,16
uniform,4,93004,G25O,G25OR,S21,True,16,6721.693140682364,26908.46570341182,211,205,16,0,0,0,44,,16
uniform,4,93005,A0,G25OR,S21,True,14,14024.5972359015,57992.98617950745,357,313,100,86,0,1,0,88,14
uniform,4,93005,G25O,G25OR,S21,True,14,7013.177145314767,26985.885726573837,259,251,14,0,0,0,44,,14
uniform,4,93006,A0,G25OR,S21,True,16,15187.958740089629,63904.79370044796,314,253,184,168,0,2,0,100,16
uniform,4,93006,G25O,G25OR,S21,True,16,6651.428549007757,26387.142745038775,218,204,16,0,0,0,57,,16
uniform,4,93007,A0,G25OR,S21,True,12,12128.844142304544,48764.22071152271,378,330,44,32,0,1,0,83,12
uniform,4,93007,G25O,G25OR,S21,True,12,7059.698247275648,27403.491236378257,255,244,12,0,0,0,32,,12
uniform,4,93008,A0,G25OR,S21,True,13,11720.653165484773,47803.265827423886,357,310,13,0,0,0,0,79,13
uniform,4,93008,G25O,G25OR,S21,True,13,7154.666898350726,28443.334491753634,235,226,13,0,0,0,46,,13
uniform,4,93009,A0,G25OR,S21,True,12,12870.253222410827,52001.26611205404,393,343,46,34,0,2,0,78,12
uniform,4,93009,G25O,G25OR,S21,True,12,7106.707981434222,27503.53990717112,260,246,12,0,0,0,28,,12
uniform,4,93010,A0,G25OR,S21,True,15,12920.964957680495,54394.8247884024,284,235,119,104,0,1,0,96,15
uniform,4,93010,G25O,G25OR,S21,True,15,6805.320921004286,27421.60460502143,209,201,15,0,0,0,39,,15
uniform,4,93011,A0,G25OR,S21,True,12,14711.259281455337,58231.2964072765,418,363,196,184,0,3,0,90,12
uniform,4,93011,G25O,G25OR,S21,True,12,6590.195557182799,25145.977785913994,251,246,12,0,0,0,36,,12
uniform,4,93012,A0,G25OR,S21,True,13,15372.080007765144,62065.40003882552,401,349,193,180,0,2,0,87,13
uniform,4,93012,G25O,G25OR,S21,True,13,6979.132579128056,26205.66289564028,281,268,13,0,0,0,41,,13
uniform,4,93013,A0,G25OR,S21,True,15,14147.502313164294,59072.51156582127,295,243,195,180,0,2,0,94,15
uniform,4,93013,G25O,G25OR,S21,True,15,6472.808745267794,26229.04372633897,193,187,15,0,0,0,40,,15
uniform,4,93014,A0,G25OR,S21,True,14,11765.02759356384,49010.13796781919,318,273,24,10,0,1,0,86,14
uniform,4,93014,G25O,G25OR,S21,True,14,6591.150261425921,26005.751307129598,222,210,14,0,0,0,41,,14
uniform,4,93015,A0,G25OR,S21,True,16,13654.851250930018,58184.25625465001,306,246,70,54,0,1,0,96,16
uniform,4,93015,G25O,G25OR,S21,True,16,5743.409117361042,23342.045586805194,168,155,16,0,0,0,46,,16
uniform,4,93016,A0,G25OR,S21,True,15,13719.46157777381,56622.307888868876,303,253,199,184,0,2,0,96,15
uniform,4,93016,G25O,G25OR,S21,True,15,6818.541172956955,26937.705864784766,227,221,15,0,0,0,54,,15
uniform,4,93017,A0,G25OR,S21,True,10,11349.583633794693,44682.91816897347,400,363,10,0,0,0,0,71,10
uniform,4,93017,G25O,G25OR,S21,True,10,6451.441694154777,23532.208470773872,285,270,10,0,0,0,30,,10
uniform,4,93018,A0,G25OR,S21,True,10,11438.865946659262,44644.32973329628,409,367,26,16,0,1,0,68,10
uniform,4,93018,G25O,G25OR,S21,True,10,6613.500469796265,24542.502348981325,278,265,10,0,0,0,24,,10
uniform,4,93019,A0,G25OR,S21,True,13,12206.354200799895,49846.77100399947,370,322,13,0,0,0,0,78,13
uniform,4,93019,G25O,G25OR,S21,True,13,6821.579604585861,26642.89802292931,239,233,13,0,0,0,44,,13
uniform,4,93020,A0,G25OR,S21,True,16,13125.436938703011,56272.1846935149,237,186,156,140,0,2,0,99,16
uniform,4,93020,G25O,G25OR,S21,True,16,6669.079625995406,26855.398129977013,205,193,16,0,0,0,45,,16
uniform,4,93021,A0,G25OR,S21,True,12,12212.703058846722,48178.51529423352,383,338,100,88,0,1,0,74,12
uniform,4,93021,G25O,G25OR,S21,True,12,6977.986623342984,26554.933116714918,269,262,12,0,0,0,38,,12
uniform,4,93022,A0,G25OR,S21,True,13,14058.089914298142,56575.449571490586,376,321,172,159,0,2,0,89,13
uniform,4,93022,G25O,G25OR,S21,True,13,6417.710433620609,24598.552168103037,240,233,13,0,0,0,39,,13
uniform,4,93023,A0,G25OR,S21,True,13,12325.478463291978,49567.3923164598,362,315,87,74,0,1,0,81,13
uniform,4,93023,G25O,G25OR,S21,True,13,6523.063426187009,25365.31713093505,232,225,13,0,0,0,35,,13
uniform,4,93024,A0,G25OR,S21,True,15,11525.967283031208,48869.836415156,287,242,15,0,0,0,0,90,15
