mode,seed,method,sources,success,cleared,virtual_time_s,distance_m,measure_calls,clear_calls,failed_clear
4,170016,O3,12,True,12,5117.496137540436,23782.48068770218,53,12,0
4,170016,O0,12,True,12,1794.7673351162107,8673.836675581053,0,12,0
4,170017,G25OR,10,True,10,7132.875218462246,26089.37609231124,313,10,0
4,170017,O1,10,True,10,3965.5337762075533,17677.668881037764,64,10,0
4,170017,O2,10,True,10,6369.37447764781,23171.872388239048,285,10,0
4,170017,O3,10,True,10,2796.855502124382,12734.27751062191,35,10,0
4,170017,O0,10,True,10,1506.749397014382,7283.74698507191,0,10,0
4,170018,G25OR,12,True,12,9322.7731739757,31823.865869878504,492,12,0
4,170018,O1,12,True,12,8121.773173975704,31823.865869878504,292,12,0
4,170018,O2,12,True,12,7165.857221727593,22544.28610863796,437,12,0
4,170018,O3,12,True,12,5967.857221727593,22544.28610863796,237,12,0
4,170018,O0,12,True,12,1995.204307745072,9676.021538725361,0,12,0
4,170019,G25OR,12,True,12,6702.240019133096,24911.200095665485,278,12,0
4,170019,O1,12,True,12,4449.022676135757,19640.113380678788,78,12,0
4,170019,O2,12,True,12,6422.84417817738,24829.2208908869,237,12,0
4,170019,O3,12,True,12,2798.3572576699007,12616.786288349507,37,12,0
4,170019,O0,12,True,12,1398.0309451064763,6690.15472553238,0,12,0
4,170020,G25OR,13,True,13,6952.605033778345,26713.025168891734,259,13,0
4,170020,O1,13,True,13,4863.519768737021,21517.598843685104,83,13,0
4,170020,O2,13,True,13,6480.445608684571,26102.228043422863,203,13,0
4,170020,O3,13,True,13,3404.0764012358686,15870.382006179343,28,13,0
4,170020,O0,13,True,13,1790.7638104985958,8628.819052492978,0,13,0
4,170021,G25OR,10,True,10,8761.790453221953,28753.952266109758,501,10,0
4,170021,O1,10,True,10,7262.790453221953,28753.952266109758,251,10,0
4,170021,O2,10,True,10,7710.11189559355,24685.55947796775,458,10,0
4,170021,O3,10,True,10,6003.519957117249,23642.599785586244,208,10,0
4,170021,O0,10,True,10,1716.217609496656,8331.08804748328,0,10,0
4,170022,G25OR,12,True,12,6855.729005904982,25778.6450295249,275,12,0
4,170022,O1,12,True,12,4862.501214287687,21787.506071438427,75,12,0
4,170022,O2,12,True,12,6676.2998775030155,25976.499387515072,241,12,0
4,170022,O3,12,True,12,3074.0551143061616,13875.275571530805,41,12,0
4,170022,O0,12,True,12,1494.037894730709,7170.189473653545,0,12,0
4,170023,G25OR,10,True,10,7633.331304238202,27866.65652119101,337,10,0
4,170023,O1,10,True,10,5531.8862999281455,24849.431499640723,87,10,0
4,170023,O2,10,True,10,6323.582754963751,22337.913774818753,305,10,0
4,170023,O3,10,True,10,4090.260491946701,18641.302459733506,55,10,0
4,170023,O0,10,True,10,1592.6303908459856,7713.151954229928,0,10,0
4,170024,G25OR,16,True,16,10478.278817037472,37381.39408518734,500,16,0
4,170024,O1,16,True,16,9902.27881703747,37381.39408518734,404,16,0
4,170024,O2,16,True,16,7712.618843319287,25858.094216596433,414,16,0
4,170024,O3,16,True,16,7136.6188433192865,25858.094216596433,318,16,0
4,170024,O0,16,True,16,1955.9230483176416,9379.615241588206,0,16,0
4,170025,G25OR,16,True,16,6466.776757783079,25503.88378891539,216,16,0
4,170025,O1,16,True,16,5963.776757783079,25503.88378891539,132,16,0
4,170025,O2,16,True,16,5981.526305195558,24622.631525977795,166,16,0
4,170025,O3,16,True,16,5478.526305195559,24622.631525977795,82,16,0
4,170025,O0,16,True,16,1852.1305485768235,8860.652742884115,0,16,0
4,170026,G25OR,15,True,15,7124.093833379546,27775.46916689773,250,15,0
4,170026,O1,15,True,15,5989.909750921263,25859.54875460632,125,15,0
4,170026,O2,15,True,15,6515.946669404664,26054.733347023313,209,15,0
4,170026,O3,15,True,15,4205.5874042493115,18187.937021246555,84,15,0
4,170026,O0,15,True,15,1913.8573651462912,9194.286825731455,0,15,0
4,170027,G25OR,10,True,10,8902.0362337784,29395.181168892017,504,10,0
4,170027,O1,10,True,10,7401.036233778403,29395.181168892017,254,10,0
4,170027,O2,10,True,10,7080.125298788493,21715.62649394246,452,10,0
4,170027,O3,10,True,10,5580.125298788491,21715.62649394246,202,10,0
4,170027,O0,10,True,10,1951.4903946847603,9507.4519734238,0,10,0
4,170028,G25OR,12,True,12,7232.03813422586,27205.1906711293,290,12,0
4,170028,O1,12,True,12,5407.587303773723,24067.936518868613,90,12,0
4,170028,O2,12,True,12,6336.436539906689,23937.182699533452,252,12,0
4,170028,O3,12,True,12,4097.5128748977995,18702.564374488997,52,12,0
4,170028,O0,12,True,12,1895.6453081801383,9178.226540900692,0,12,0
4,170029,G25OR,16,True,16,6637.843638818906,26669.21819409453,205,16,0
4,170029,O1,16,True,16,6133.843638818906,26669.21819409453,121,16,0
4,170029,O2,16,True,16,5780.842376091475,23744.21188045738,162,16,0
4,170029,O3,16,True,16,5277.842376091475,23744.21188045738,78,16,0
4,170029,O0,16,True,16,2281.0127270758153,11005.063635379076,0,16,0
