mode,seed,sources,orig_v,orig_dist,first_noncoverage_index,undiscovered_true_at_first,noncoverage_stops,coverage_tasks_after_first,coverage_visits_after_first,unknown_opportunities,shadow_signal_events,shadow_absent_channels,valid_deleted_tasks,valid_whole_waypoints,valid_partial_waypoints,valid_dist_saved,added_shadow_s,valid_new_v,valid_net_s_per_source,valid_recovery_of_B_minus_O0,signal_only_added_s,signal_only_net_s_per_source,gross_deleted_tasks,gross_whole_waypoints,gross_dist_saved,gross_new_v,gross_net_s_per_source,gross_recovery_of_B_minus_O0
3,160013,11,4302.904481386375,17814.52240693187,35,4,26,57,5,57,0,0,0,0,0,0.0,342.0000000000009,4644.904481386376,-31.090909090909175,-0.20737601992779756,0.0,0.0,57,5,0.0,3960.9044813863734,31.090909090909214,0.20737601992779783
3,160014,15,3901.3849659175476,15811.924829587739,33,8,31,44,5,44,0,0,0,0,0,0.0,264.0,4165.384965917548,-17.6,-0.15589040571073534,0.0,0.0,44,5,0.0,3637.3849659175476,17.6,0.15589040571073534
3,160015,16,4776.319244593132,19566.59622296566,57,12,53,38,4,38,0,0,0,0,0,0.0,228.0,5004.319244593132,-14.25,-0.12687219308493045,0.0,0.0,38,4,464.2570763860749,4456.467829315917,19.990713454825936,0.17798355490148726
3,160016,12,4605.419049019972,19152.09524509986,35,7,29,58,5,58,0,0,0,0,0,0.0,347.9999999999991,4953.419049019971,-28.999999999999925,-0.20746742188115208,0.0,0.0,58,5,0.0,4256.419049019972,29.083333333333332,0.20806359263368465
3,160017,13,3797.281388555237,15626.406942776186,34,3,29,41,5,41,0,0,0,0,0,0.0,246.0,4043.281388555237,-18.923076923076923,-0.19111928915856663,0.0,0.0,41,5,0.0,3550.281388555237,19.0,0.191896196838073
3,160018,16,5147.453088603987,21232.26544301995,57,12,54,45,4,30,0,0,0,0,0,0.0,179.99999999999818,5327.453088603986,-11.249999999999886,-0.09537200094546748,0.0,0.0,45,4,1321.5374333714135,4615.145601929709,33.269217917142385,0.282040167346551
3,160019,12,3611.0555066246698,14540.27753312335,36,4,30,45,5,45,0,0,0,0,0,0.0,269.9999999999991,3881.055506624669,-22.499999999999925,-0.27807023463020064,0.0,0.0,45,5,0.0,3341.0555066246693,22.50000000000004,0.27807023463020203
3,160020,15,4410.110218087124,18355.55109043562,33,5,37,43,5,43,0,0,0,0,0,0.0,258.0,4668.110218087124,-17.2,-0.13880817048858743,0.0,0.0,43,5,0.0,4152.110218087124,17.2,0.13880817048858743
3,160021,10,4475.783490125836,18153.91745062917,58,8,30,56,4,18,0,0,0,0,0,0.0,108.0,4583.783490125836,-10.8,-0.0564348222529061,0.0,0.0,56,4,3018.282942077867,3539.126901710261,93.66565884155747,0.48944488962265176
3,160022,15,4351.361107649117,18036.805538245586,47,6,36,31,4,31,0,0,0,0,0,0.0,186.0,4537.361107649117,-12.4,-0.11515024561392445,0.0,0.0,31,4,0.0,4165.361107649117,12.4,0.11515024561392445
3,160023,14,4342.918431744515,18004.59215872257,35,7,35,46,5,46,0,0,0,0,0,0.0,275.9999999999991,4618.918431744514,-19.714285714285648,-0.1421563902135255,0.0,0.0,46,5,0.0,4064.9184317445133,19.857142857142986,0.14318650898319013
3,160024,15,4575.373906976424,18696.869534882127,56,10,47,38,4,24,0,0,0,0,0,0.0,144.0,4719.373906976424,-9.6,-0.091245798200371,0.0,0.0,38,4,643.078061834698,4220.758294609485,23.641040824462593,0.22470267086621318
3,160025,13,4027.5843474778208,16402.921737389104,31,4,28,52,5,52,0,0,0,0,0,0.0,311.99999999999955,4339.58434747782,-23.999999999999964,-0.1622345546439261,0.0,0.0,52,5,0.0,3714.5843474778208,24.076923076923077,0.16275453719086203
3,160026,13,4659.238300520703,19641.19150260352,35,5,32,48,5,39,0,0,0,0,0,0.0,234.0,4893.238300520703,-18.0,-0.13798326293782848,0.0,0.0,48,5,321.53903091734537,4306.9304943372335,27.100600475651497,0.20774607117804778
3,160027,15,4570.3121441671965,18601.56072083599,71,5,46,25,3,19,0,0,0,0,0,0.0,114.0,4684.3121441671965,-7.6,-0.06107242846318733,0.0,0.0,25,3,321.539030917349,4357.004337983727,14.220520412231297,0.11427390994543304
3,160028,13,4105.803153128238,16879.01576564119,34,5,30,48,5,40,0,0,0,0,0,0.0,239.9999999999991,4345.803153128237,-18.461538461538392,-0.15459753866827353,0.0,0.0,48,5,321.539030917349,3754.495346944768,27.023677398728452,0.2262971756288147
3,160029,16,4292.826464162887,17719.132320814428,32,7,34,45,5,45,0,0,0,0,0,0.0,270.0,4562.826464162887,-16.875,-0.13283028770360966,0.0,0.0,45,5,0.0,4022.826464162886,16.87500000000003,0.13283028770360988
3,160030,16,4412.073619499101,18130.3680974955,54,8,52,27,3,221,0,0,0,0,0,0.0,1344.0,5756.073619499101,-84.0,-0.9214114614216166,0.0,0.0,27,3,392.2235662096318,4171.628906257174,15.027794577620455,0.1648426448060608
3,160031,14,4474.881082214741,18524.40541107371,35,8,31,52,5,52,0,0,0,0,0,0.0,312.0,4786.881082214741,-22.285714285714285,-0.1846913524194223,0.0,0.0,52,5,0.0,4162.881082214741,22.285714285714285,0.1846913524194223
3,160032,10,3497.0904967894867,14070.452483947432,33,1,21,51,5,51,0,0,0,0,0,0.0,306.0,3803.0904967894867,-30.6,-0.4291094746444924,0.0,0.0,51,5,886.3160107905824,3012.8272946313705,48.42632021581162,0.6790912688487871
3,160033,12,4503.663417419707,18108.31708709853,58,8,36,57,4,46,0,0,0,0,0,0.0,275.9999999999991,4779.663417419706,-22.999999999999925,-0.1425110254922052,0.0,0.0,57,4,321.539030917349,4098.355611236238,33.77565051528912,0.20927837354783468
