mode,seed,sources,baseline_v,baseline_per_source,O3_v,O3_per_source,O0_v,O0_per_source,A_v,A_per_source,A_dist,A_dist_per_source,A_measures,A_measures_per_source,A_all_found,B_v,B_per_source,B_cleanup_v,B_cleanup_per_source,B_cleanup_dist,B_cleanup_dist_per_source,B_all_clear,B_success,C_v,C_per_source,C_naive_v,C_naive_per_source,C_dist,C_measures,C_candidate,C_resolve_key,C_all_clear,C_success,order_gain_per_source,info_cost_per_source,integration_gap_per_source,total_gap_per_source
3,160012,16,5279.549465739429,329.9718416087143,4025.1140575879904,251.5696285992494,2251.6113835822807,140.72571147389255,2028.0000000000002,126.75000000000001,7200.000000000001,450.00000000000006,99,6.1875,True,4158.62773064057,259.9142331650356,2130.62773064057,133.16423316503563,10253.138653202852,640.8211658251782,True,True,5276.575337676395,329.7859586047747,5276.575337676395,329.7859586047747,21857.876688381977,141,baseline,true,True,True,0.18588300393963664,69.87172543973907,119.18852169114308,189.24613013482178
3,160013,11,4302.904481386375,391.17313467148864,2986.0709331776893,271.4609939252445,1913.0059209018116,173.90962917289195,1693.0,153.9090909090909,6000.0,545.4545454545455,83,7.545454545454546,True,3562.1840665672344,323.83491514247584,1869.1840665672344,169.92582423338493,9070.92033283617,824.6291211669245,True,True,4302.904481386375,391.17313467148864,4510.939795165573,410.085435924143,17814.52240693187,115,baseline,mec,True,True,0.0,67.33821952901276,149.92528596958388,217.26350549859663
3,160014,15,3901.3849659175476,260.09233106116983,2974.727840305095,198.315189353673,1653.8709063701222,110.25806042467481,1626.0,108.4,6000.0,400.0,72,4.8,True,3347.368327179129,223.1578884786086,1721.3683271791292,114.75788847860862,8231.841635895646,548.789442393043,True,True,3901.3849659175476,260.09233106116983,3901.3849659175476,260.09233106116983,15811.924829587739,111,baseline,mec,True,True,0.0,36.934442582561225,112.8998280539338,149.83427063649503
3,160015,16,4776.319244593132,298.51995278707074,3735.8180962858964,233.48863101786853,2078.758092674552,129.9223807921595,2004.0000000000002,125.25000000000001,7200.000000000001,450.00000000000006,95,5.9375,True,3875.8421853832892,242.24013658645558,1871.842185383289,116.99013658645556,8959.210926916447,559.9506829322779,True,True,4776.319244593132,298.51995278707074,4776.319244593132,298.51995278707074,19566.59622296566,134,baseline,mec,True,True,0.0,56.27981620061516,112.31775579429609,168.59757199491125
3,160016,12,4605.419049019972,383.7849207516643,3496.752133312842,291.3960111094035,1812.067350727464,151.00561256062198,1704.0,142.0,6000.0,500.0,85,7.083333333333333,True,3489.4391368354113,290.78659473628426,1785.4391368354113,148.7865947362843,8627.195684177057,718.9329736814215,True,True,4399.107936264048,366.592328022004,4399.107936264048,366.592328022004,18120.53968132024,120,baseline,true,True,True,17.192592729660344,75.80573328571968,139.78098217566227,232.7793081910423
3,160017,13,3797.281388555237,292.09856835040284,3040.885011706031,233.9142316696947,1717.650750500552,132.12698080773478,1321.0,101.61538461538461,4800.0,369.2307692307692,61,4.6923076923076925,True,3004.8049727826383,231.13884406020296,1683.8049727826383,129.52345944481834,8094.024863913195,622.6172972240919,True,True,3784.8766364879243,291.1443566529173,3784.8766364879243,291.1443566529173,15564.383182439622,102,baseline,true,True,True,0.9542116974855792,60.00551259271431,99.01186325246817,159.97158754266806
3,160018,16,5147.453088603987,321.7158180377492,3929.879276357504,245.617454772344,2169.4616573225753,135.59135358266096,2046.0000000000002,127.87500000000001,7200.000000000001,450.00000000000006,102,6.375,True,4056.8080295866944,253.5505018491684,2010.8080295866941,125.67550184916838,9654.040147933469,603.3775092458418,True,True,4990.454850393611,311.9034281496007,4990.454850393611,311.9034281496007,20492.27425196806,139,baseline,true,True,True,9.812389888148516,58.3529263004323,117.95914826650744,186.12446445508826
3,160019,12,3611.0555066246698,300.9212922187225,2812.163880655257,234.34699005460473,1541.976989032659,128.49808241938825,1058.0,88.16666666666667,3600.0,300.0,57,4.75,True,2512.9547003258726,209.41289169382273,1454.9547003258726,121.24622502715606,6974.773501629363,581.2311251357802,True,True,3611.0555066246698,300.9212922187225,3611.0555066246698,300.9212922187225,14540.27753312335,108,baseline,mec,True,True,0.0,91.50840052489976,80.91480927443446,172.42320979933424
3,160020,15,4410.110218087124,294.00734787247495,3604.3546796172814,240.29031197448543,2010.0790426649583,134.0052695109972,1890.0000000000002,126.00000000000001,7200.000000000001,480.00000000000006,76,5.066666666666666,True,3868.7592564583697,257.9172837638913,1978.7592564583695,131.9172837638913,9518.796282291849,634.5864188194566,True,True,4410.110218087124,294.00734787247495,4417.853145780621,294.5235430520414,18355.55109043562,111,baseline,mec,True,True,0.0,36.09006410858362,123.9120142528941,160.00207836147771
3,160021,10,4475.783490125836,447.57834901258354,3521.89645264099,352.189645264099,1994.1265213060299,199.412652130603,2117.0,211.7,7200.000000000001,720.0000000000001,114,11.4,True,3907.8385822036535,390.78385822036535,1790.8385822036535,179.08385822036536,8704.192911018265,870.4192911018265,True,True,4475.783490125836,447.57834901258354,4475.783490125836,447.57834901258354,18153.91745062917,135,baseline,mec,True,True,0.0,56.79449079221822,191.37120608976235,248.1656968819806
3,160022,15,4351.361107649117,290.09074050994116,3548.548605979199,236.56990706527992,2078.070932360426,138.53806215736174,1633.0,108.86666666666666,6000.0,400.0,73,4.866666666666666,True,3693.3518986175063,246.22345990783376,2060.3518986175063,137.35679324116708,9926.759493087535,661.7839662058357,True,True,4351.361107649117,290.09074050994116,4351.361107649117,290.09074050994116,18036.805538245586,112,baseline,mec,True,True,0.0,43.86728060210738,107.68539775047202,151.5526783525794
3,160023,14,4342.918431744515,310.2084594103225,3663.839608661194,261.70282919008525,2032.0413144896872,145.1458081778348,1921.0000000000002,137.21428571428572,7200.000000000001,514.2857142857143,81,5.785714285714286,True,3973.5650095232645,283.8260721088046,2052.565009523264,146.61178639451887,9912.825047616323,708.0589319725945,True,True,4342.918431744515,310.2084594103225,4423.5376192195745,315.9669728013982,18004.59215872257,113,baseline,mec,True,True,0.0,26.382387301517902,138.6802639309698,165.0626512324877
3,160024,15,4575.373906976424,305.0249271317616,3483.8530389533084,232.2568692635539,1995.0669192318471,133.00446128212315,1730.0,115.33333333333333,6000.0,400.0,89,5.933333333333334,True,3573.2217804977163,238.2147853665144,1843.2217804977163,122.88145203318109,8841.108902488575,589.407260165905,True,True,4575.373906976424,305.0249271317616,4575.373906976424,305.0249271317616,18696.869534882127,130,baseline,mec,True,True,0.0,66.8101417652472,105.21032408439127,172.02046584963847
3,160025,13,4027.5843474778208,309.814180575217,3106.2831053225113,238.9448542555778,1697.3232989231433,130.56333068639563,1931.0000000000002,148.53846153846155,7200.000000000001,553.8461538461539,83,6.384615384615385,True,3620.4647695227945,278.4972899632919,1689.4647695227943,129.95882842483033,8122.323847613975,624.7941421241519,True,True,4027.5843474778208,309.814180575217,4027.5843474778208,309.814180575217,16402.921737389104,114,baseline,mec,True,True,0.0,31.316890611925093,147.93395927689625,179.25084988882134
3,160026,13,4659.238300520703,358.4029461939002,3371.109823641843,259.3161402801418,1808.2607522290043,139.09698094069265,1651.0,127.0,6000.0,461.53846153846155,76,5.846153846153846,True,3504.11860497042,269.54758499772464,1853.1186049704202,142.54758499772464,8940.593024852102,687.7379249886233,True,True,4394.2622656268795,338.02017427899074,4394.2622656268795,338.02017427899074,18316.3113281344,112,baseline,true,True,True,20.382771914909497,68.47258928126611,130.450604057032,219.30596525320757
