scenario,mode,seed,coverage,sources,success,cleared,virtual_time_s,distance_m,solver_failures,optical_fallbacks
minradius,4,98003,S21,12,True,12,7234.952719382478,28079.763596912377,0,0
minradius,4,98004,S25,10,True,10,7789.788746565168,27743.943732825843,0,0
minradius,4,98004,S21,10,True,10,8092.036442458095,30555.182212290463,0,0
minradius,4,98005,S25,15,True,15,7448.7017582865965,29683.50879143299,0,0
minradius,4,98005,S21,15,True,15,7637.297755730708,31191.48877865352,0,0
minradius,4,98006,S25,15,True,15,7649.0090431832095,29590.045215916038,0,0
minradius,4,98006,S21,15,True,15,7024.477552391339,28062.3877619567,0,0
minradius,4,98007,S25,12,True,12,7370.2930336422205,27216.465168211078,0,0
minradius,4,98007,S21,12,True,12,6960.959119930096,26839.795599650464,0,0
minradius,4,98008,S25,14,True,14,7580.597647911492,29292.98823955746,0,0
minradius,4,98008,S21,14,True,14,7264.957817304864,28929.789086524328,0,0
minradius,4,98009,S25,13,True,13,6984.061773253449,25260.30886626725,0,0
minradius,4,98009,S21,13,True,13,6484.9497488801035,25819.748744400506,0,0
minradius,4,98010,S25,10,True,10,7091.88033417823,25589.401670891144,0,0
minradius,4,98010,S21,10,True,10,6809.020058481262,25345.10029240631,0,0
minradius,4,98011,S25,16,True,16,5966.710892178743,23188.55446089372,0,0
minradius,4,98011,S21,16,True,16,5212.153452560034,20745.76726280016,0,0
minradius,4,98012,S25,13,True,13,7253.427897418636,27767.13948709319,0,0
minradius,4,98012,S21,13,True,13,6850.656318347894,27263.28159173946,0,0
minradius,4,98013,S25,12,True,12,8165.173650910624,29595.868254553126,0,0
minradius,4,98013,S21,12,True,12,8127.129467301777,30975.647336508882,0,0
minradius,4,98014,S25,12,True,12,6328.511134489597,22902.555672447994,0,0
minradius,4,98014,S21,12,True,12,6865.568987477341,26467.84493738671,0,0
minradius,4,98015,S25,11,True,11,7175.872919563168,25714.364597815846,0,0
minradius,4,98015,S21,11,True,11,6575.818734178127,24374.093670890627,0,0
minradius,4,98016,S25,12,True,12,7851.770254311794,28583.851271558964,0,0
minradius,4,98016,S21,12,True,12,8209.565471884676,31227.827359423394,0,0
minradius,4,98017,S25,13,True,13,7299.076959108393,28695.384795541962,0,0
minradius,4,98017,S21,13,True,13,6741.595167781854,26772.97583890927,0,0
minradius,4,98018,S25,11,True,11,6361.464328667584,22977.32164333792,0,0
minradius,4,98018,S21,11,True,11,6118.235217058342,23016.1760852917,0,0
minradius,4,98019,S25,13,True,13,6686.70332085646,24433.516604282286,0,0
minradius,4,98019,S21,13,True,13,6376.9870398871535,24514.935199435768,0,0
outward,3,98000,S25,11,True,11,4118.476643635294,16647.383218176474,0,0
outward,3,98000,S21,11,True,11,4118.476643635294,16647.383218176474,0,0
outward,3,98001,S25,12,True,12,4127.356875459473,16991.784377297357,0,0
outward,3,98001,S21,12,True,12,4127.356875459473,16991.784377297357,0,0
outward,3,98002,S25,15,True,15,4049.861481512508,16989.307407562545,0,0
outward,3,98002,S21,15,True,15,4049.861481512508,16989.307407562545,0,0
outward,3,98003,S25,12,True,12,4426.18354432441,18575.91772162205,0,0
outward,3,98003,S21,12,True,12,4426.18354432441,18575.91772162205,0,0
outward,3,98004,S25,10,True,10,3867.314691637734,15621.573458188666,0,0
outward,3,98004,S21,10,True,10,3867.314691637734,15621.573458188666,0,0
outward,3,98005,S25,15,True,15,4481.856394262471,18754.281971312357,0,0
outward,3,98005,S21,15,True,15,4481.856394262471,18754.281971312357,0,0
outward,3,98006,S25,15,True,15,4172.874925170862,17284.374625854318,0,0
outward,3,98006,S21,15,True,15,4172.874925170862,17284.374625854318,0,0
outward,3,98007,S25,12,True,12,4017.608240602321,16418.041203011606,0,0
outward,3,98007,S21,12,True,12,4017.608240602321,16418.041203011606,0,0
outward,3,98008,S25,14,True,14,4399.809777660188,18549.048888300942,0,0
outward,3,98008,S21,14,True,14,4399.809777660188,18549.048888300942,0,0
outward,3,98009,S25,13,True,13,3907.3460103126595,15961.7300515633,0,0
outward,3,98009,S21,13,True,13,3907.3460103126595,15961.7300515633,0,0
outward,3,98010,S25,10,True,10,4094.2892018044336,16511.44600902217,0,0
outward,3,98010,S21,10,True,10,4094.2892018044336,16511.44600902217,0,0
outward,3,98011,S25,16,True,16,5005.8820482046995,21759.41024102348,0,0
outward,3,98011,S21,16,True,16,5005.8820482046995,21759.41024102348,0,0
outward,3,98012,S25,13,True,13,4356.005196204014,18155.025981020073,0,0
outward,3,98012,S21,13,True,13,4356.005196204014,18155.025981020073,0,0
outward,3,98013,S25,12,True,12,4367.8181082152905,18114.090541076446,0,0
outward,3,98013,S21,12,True,12,4367.8181082152905,18114.090541076446,0,0
outward,3,98014,S25,12,True,12,4161.640931006642,17013.204655033212,0,0
outward,3,98014,S21,12,True,12,4161.640931006642,17013.204655033212,0,0
outward,3,98015,S25,11,True,11,3932.7183013336135,15993.59150666806,0,0
outward,3,98015,S21,11,True,11,3932.7183013336135,15993.59150666806,0,0
outward,3,98016,S25,12,True,12,4410.005724699743,18210.028623498718,0,0
outward,3,98016,S21,12,True,12,4410.005724699743,18210.028623498718,0,0
outward,3,98017,S25,13,True,13,4247.830518529763,17609.15259264882,0,0
outward,3,98017,S21,13,True,13,4247.830518529763,17609.15259264882,0,0
