scenario,mode,seed,coverage,sources,success,cleared,virtual_time_s,distance_m,solver_failures,optical_fallbacks
edge,4,98013,S25,12,True,12,9487.907946887017,32174.539734435068,0,0
edge,4,98013,S21,12,True,12,9273.977228337817,33254.88614168907,0,0
edge,4,98014,S25,12,True,12,8967.778637697485,30713.893188487444,0,0
edge,4,98014,S21,12,True,12,8209.974359848906,29469.87179924452,0,0
edge,4,98015,S25,11,True,11,8486.26854456561,28461.34272282805,0,0
edge,4,98015,S21,11,True,11,8232.702416945156,29473.51208472578,0,0
edge,4,98016,S25,12,True,12,9362.22262088412,32321.113104420612,0,0
edge,4,98016,S21,12,True,12,8960.81328019247,32344.066400962354,0,0
edge,4,98017,S25,13,True,13,9030.42244910447,30617.11224552237,0,0
edge,4,98017,S21,13,True,13,8978.585067479986,32727.925337399935,0,0
edge,4,98018,S25,11,True,11,9114.630987418852,30803.154937094256,0,0
edge,4,98018,S21,11,True,11,9092.493546442245,32812.46773221124,0,0
edge,4,98019,S25,13,True,13,9450.310173357015,32621.55086678504,0,0
edge,4,98019,S21,13,True,13,8563.74010311582,31178.70051557911,0,0
minradius,3,98000,S25,11,True,11,4348.880508144278,17829.402540721396,0,0
minradius,3,98000,S21,11,True,11,4348.880508144278,17829.402540721396,0,0
minradius,3,98001,S25,12,True,12,4476.962437025838,18284.812185129194,0,0
minradius,3,98001,S21,12,True,12,4476.962437025838,18284.812185129194,0,0
minradius,3,98002,S25,15,True,15,5428.764198047584,23018.820990237917,0,0
minradius,3,98002,S21,15,True,15,5428.764198047584,23018.820990237917,0,0
minradius,3,98003,S25,12,True,12,4723.681178924206,19703.40589462102,0,0
minradius,3,98003,S21,12,True,12,4723.681178924206,19703.40589462102,0,0
minradius,3,98004,S25,10,True,10,4137.797748644056,16643.98874322028,0,0
minradius,3,98004,S21,10,True,10,4137.797748644056,16643.98874322028,0,0
minradius,3,98005,S25,15,True,15,4718.864616983098,19589.323084915486,0,0
minradius,3,98005,S21,15,True,15,4718.864616983098,19589.323084915486,0,0
minradius,3,98006,S25,15,True,15,4393.478264821805,18352.391324109023,0,0
minradius,3,98006,S21,15,True,15,4393.478264821805,18352.391324109023,0,0
minradius,3,98007,S25,12,True,12,4650.877681643523,19044.388408217616,0,0
minradius,3,98007,S21,12,True,12,4650.877681643523,19044.388408217616,0,0
minradius,3,98008,S25,14,True,14,4894.608464741601,20743.042323708007,0,0
minradius,3,98008,S21,14,True,14,4894.608464741601,20743.042323708007,0,0
minradius,3,98009,S25,13,True,13,4065.63513605065,16643.17568025325,0,0
minradius,3,98009,S21,13,True,13,4065.63513605065,16643.17568025325,0,0
minradius,3,98010,S25,10,True,10,3904.443872359017,15592.21936179509,0,0
minradius,3,98010,S21,10,True,10,3904.443872359017,15592.21936179509,0,0
minradius,3,98011,S25,16,True,16,4526.801744197729,19199.008720988644,0,0
minradius,3,98011,S21,16,True,16,4526.801744197729,19199.008720988644,0,0
minradius,3,98012,S25,13,True,13,4658.12191317038,19265.609565851897,0,0
minradius,3,98012,S21,13,True,13,4658.12191317038,19265.609565851897,0,0
minradius,3,98013,S25,12,True,12,4292.199375925342,17600.996879626706,0,0
minradius,3,98013,S21,12,True,12,4292.199375925342,17600.996879626706,0,0
minradius,3,98014,S25,12,True,12,4858.153383221228,19930.766916106146,0,0
minradius,3,98014,S21,12,True,12,4858.153383221228,19930.766916106146,0,0
minradius,3,98015,S25,11,True,11,4282.410354296402,17287.05177148201,0,0
minradius,3,98015,S21,11,True,11,4282.410354296402,17287.05177148201,0,0
minradius,3,98016,S25,12,True,12,4381.644992294064,18218.22496147033,0,0
minradius,3,98016,S21,12,True,12,4381.644992294064,18218.22496147033,0,0
minradius,3,98017,S25,13,True,13,4652.306854606903,19221.53427303451,0,0
minradius,3,98017,S21,13,True,13,4652.306854606903,19221.53427303451,0,0
minradius,3,98018,S25,11,True,11,4336.308421981324,17801.542109906608,0,0
minradius,3,98018,S21,11,True,11,4336.308421981324,17801.542109906608,0,0
minradius,3,98019,S25,13,True,13,4368.264318624915,17896.321593124583,0,0
minradius,3,98019,S21,13,True,13,4368.264318624915,17896.321593124583,0,0
minradius,4,98000,S25,11,True,11,7077.539980115723,26057.699900578613,0,0
minradius,4,98000,S21,11,True,11,6737.830940568064,25559.154702840326,0,0
minradius,4,98001,S25,12,True,12,7871.494427926387,28597.472139631926,0,0
minradius,4,98001,S21,12,True,12,7381.19585093423,28115.979254671143,0,0
minradius,4,98002,S25,15,True,15,7407.419407649216,27962.097038246076,0,0
minradius,4,98002,S21,15,True,15,7105.9812279157695,28319.906139578863,0,0
minradius,4,98003,S25,12,True,12,7022.711212243988,25693.55606121995,0,0
