mode,seed,method,sources,success,cleared,virtual_time_s,distance_m,measure_calls,clear_calls,failed_clear
3,160044,O2,12,True,12,3243.0970121550013,13430.485060775005,84,12,0
3,160044,O3,12,True,12,2817.2297936551663,12961.148968275835,28,12,0
3,160044,O0,12,True,12,1677.0404560895597,8085.202280447799,0,12,0
3,160045,G25OR,11,True,11,4409.494443418114,17787.47221709057,135,11,0
3,160045,O1,11,True,11,4031.494443418114,17787.47221709057,72,11,0
3,160045,O2,11,True,11,3982.2139998941557,16371.069999470777,110,11,0
3,160045,O3,11,True,11,3604.213999894156,16371.069999470777,47,11,0
3,160045,O0,11,True,11,2000.7217673297564,9728.608836648782,0,11,0
3,160046,G25OR,15,True,15,4489.219845535391,18496.09922767694,120,16,1
3,160046,O1,15,True,15,4279.219845535391,18496.09922767694,85,16,1
3,160046,O2,15,True,15,3848.0349026640833,16525.174513320417,79,15,0
3,160046,O3,15,True,15,3640.0349026640833,16525.174513320417,44,15,0
3,160046,O0,15,True,15,1897.0161782535665,9110.080891267835,0,15,0
3,160047,G25OR,16,True,16,3660.4493327941473,15137.24666397074,93,16,0
3,160047,O1,16,True,16,3517.4493327941473,15137.24666397074,69,16,0
3,160047,O2,16,True,16,3021.29100555444,13106.455027772197,54,16,0
3,160047,O3,16,True,16,2878.29100555444,13106.455027772197,30,16,0
3,160047,O0,16,True,16,1387.5513652168586,6537.756826084294,0,16,0
3,160048,G25OR,12,True,12,4408.862037060963,17859.310185304814,132,12,0
3,160048,O1,12,True,12,4073.8620370609638,17859.310185304814,76,12,0
3,160048,O2,12,True,12,3929.3814180519034,16291.90709025952,103,12,0
3,160048,O3,12,True,12,3594.3814180519034,16291.90709025952,47,12,0
3,160048,O0,12,True,12,1796.165032909962,8680.82516454981,0,12,0
3,160049,G25OR,14,True,14,5222.417959267923,22142.08979633961,122,14,0
3,160049,O1,14,True,14,4969.417959267923,22142.08979633961,80,14,0
3,160049,O2,14,True,14,4512.110340423967,19620.551702119832,87,14,0
3,160049,O3,14,True,14,4045.2400905285476,18546.200452642737,45,14,0
3,160049,O0,14,True,14,2228.6979580403386,10793.489790201693,0,14,0
4,160000,G25OR,11,True,11,9091.261452111055,30626.307260555277,493,11,0
4,160000,O1,11,True,11,7741.261452111056,30626.307260555277,268,11,0
4,160000,O2,11,True,11,7222.285595054438,22701.427975272174,442,11,0
4,160000,O3,11,True,11,5875.285595054435,22701.427975272174,217,11,0
4,160000,O0,11,True,11,1988.1022085076459,9665.51104253823,0,11,0
4,160001,G25OR,12,True,12,7530.095838413183,28340.479192065904,303,12,0
4,160001,O1,12,True,12,6187.630116943893,27608.150584719464,103,12,0
4,160001,O2,12,True,12,7076.174783574417,27465.873917872083,258,12,0
4,160001,O3,12,True,12,4821.615000020525,22128.075000102624,58,12,0
4,160001,O0,12,True,12,1887.2230568096682,9136.11528404834,0,12,0
4,160002,G25OR,11,True,11,7740.78141041711,28043.907052085546,348,11,0
4,160002,O1,11,True,11,6390.781410417111,28043.907052085546,123,11,0
4,160002,O2,11,True,11,6448.431720020337,23082.158600101684,300,11,0
4,160002,O3,11,True,11,4813.99318308432,21649.965915421595,75,11,0
4,160002,O0,11,True,11,1856.5191727474705,9007.595863737353,0,11,0
4,160003,G25OR,15,True,15,9872.631809082739,34598.15904541371,492,15,0
4,160003,O1,15,True,15,9122.631809082737,34598.15904541371,367,15,0
4,160003,O2,15,True,15,7480.955641584272,24849.77820792135,410,15,0
4,160003,O3,15,True,15,6730.955641584271,24849.77820792135,285,15,0
4,160003,O0,15,True,15,2087.487538003715,10062.437690018578,0,15,0
4,160004,G25OR,11,True,11,7325.3413173006375,26506.706586503187,329,11,0
4,160004,O1,11,True,11,5632.0177110806535,24760.088555403283,105,11,0
4,160004,O2,11,True,11,6974.0486831116705,25925.243415558347,293,11,0
4,160004,O3,11,True,11,4837.1539896377235,21970.769948188616,68,11,0
4,160004,O0,11,True,11,1769.0138357008152,8570.069178504076,0,11,0
4,160005,G25OR,15,True,15,6419.24901990046,25131.245099502295,221,15,0
4,160005,O1,15,True,15,4832.003985507163,20920.019927535803,96,15,0
4,160005,O2,15,True,15,6053.678944524392,24858.394722621957,172,15,0
4,160005,O3,15,True,15,4038.17734874148,18485.886743707397,47,15,0
4,160005,O0,15,True,15,2066.7828069584198,9958.9140347921,0,15,0
4,160006,G25OR,11,True,11,9558.164137993785,32705.82068996891,504,11,0
4,160006,O1,11,True,11,8209.164137993781,32705.82068996891,279,11,0
4,160006,O2,11,True,11,7353.230244615705,23531.151223078534,436,11,0
4,160006,O3,11,True,11,5976.660565126104,23398.302825630533,211,11,0
4,160006,O0,11,True,11,2045.4341039566214,9952.170519783109,0,11,0
4,160007,G25OR,10,True,10,7479.947324578837,26139.73662289419,370,10,0
4,160007,O1,10,True,10,5981.947324578836,26139.73662289419,120,10,0
4,160007,O2,10,True,10,6972.22194868539,24686.109743426954,335,10,0
4,160007,O3,10,True,10,5343.489934271709,24027.449671358558,85,10,0
4,160007,O0,10,True,10,1598.7349415538915,7743.674707769456,0,10,0
4,160008,G25OR,10,True,10,6969.47468653517,24777.373432675853,329,10,0
4,160008,O1,10,True,10,5470.47468653517,24777.373432675853,79,10,0
4,160008,O2,10,True,10,6605.495088517152,23992.475442585765,297,10,0
4,160008,O3,10,True,10,4736.377187399108,22121.88593699554,47,10,0
4,160008,O0,10,True,10,1722.1753008043408,8360.876504021704,0,10,0
4,160009,G25OR,15,True,15,9626.493987191898,33757.4699359595,478,15,0
4,160009,O1,15,True,15,8877.493987191898,33757.4699359595,353,15,0
4,160009,O2,15,True,15,7369.241781380625,24686.20890690312,397,15,0
4,160009,O3,15,True,15,6623.241781380625,24686.20890690312,272,15,0
4,160009,O0,15,True,15,1955.346559669503,9401.732798347513,0,15,0
4,160010,G25OR,12,True,12,6845.072741438297,24880.363707191493,303,12,0
4,160010,O1,12,True,12,5293.799507604969,23113.997538024847,103,12,0
4,160010,O2,12,True,12,6547.427609205509,24487.13804602755,269,12,0
4,160010,O3,12,True,12,4948.840557060372,22479.20278530186,69,12,0
4,160010,O0,12,True,12,1599.3516661716467,7696.7583308582325,0,12,0
4,160011,G25OR,12,True,12,7084.696636845841,26328.483184229204,295,12,0
4,160011,O1,12,True,12,4969.498007265195,21747.49003632598,94,12,0
4,160011,O2,12,True,12,6471.548401580849,24527.74200790425,255,12,0
4,160011,O3,12,True,12,3965.464029042082,17917.32014521041,55,12,0
4,160011,O0,12,True,12,1888.9270093943778,9144.63504697189,0,12,0
4,160012,G25OR,16,True,16,9456.409630148475,33322.04815074239,462,16,0
4,160012,O1,16,True,16,8880.409630148477,33322.04815074239,366,16,0
4,160012,O2,16,True,16,7516.438080389543,25627.190401947704,389,16,0
4,160012,O3,16,True,16,6941.438080389544,25627.190401947704,293,16,0
4,160012,O0,16,True,16,2251.6113835822807,10858.056917911406,0,16,0
4,160013,G25OR,11,True,11,6979.8588433599,25744.294216799495,297,11,0
4,160013,O1,11,True,11,4547.679834983545,20333.399174917722,72,11,0
4,160013,O2,11,True,11,6444.497335523618,24562.486677618082,250,11,0
4,160013,O3,11,True,11,3019.8136991136053,14094.068495568023,25,11,0
4,160013,O0,11,True,11,1478.6205690811048,7118.102845405525,0,11,0
4,160014,G25OR,15,True,15,7479.355539624971,28666.777698124853,280,15,0
4,160014,O1,15,True,15,6729.35553962497,28666.777698124853,155,15,0
4,160014,O2,15,True,15,6301.650245660449,24378.251228302255,229,15,0
4,160014,O3,15,True,15,5479.98564299109,24009.92821495546,104,15,0
4,160014,O0,15,True,15,1808.462359897596,8667.311799487978,0,15,0
4,160015,G25OR,16,True,16,10734.145247787988,38100.726238939984,522,16,0
4,160015,O1,16,True,16,10158.14524778799,38100.726238939984,426,16,0
4,160015,O2,16,True,16,7902.393925037445,26596.969625187226,421,16,0
4,160015,O3,16,True,16,7326.393925037444,26596.969625187226,325,16,0
4,160015,O0,16,True,16,2078.758092674552,9993.790463372761,0,16,0
4,160016,G25OR,12,True,12,7143.102771216185,25710.51385608093,325,12,0
4,160016,O1,12,True,12,5861.465870765838,25287.329353829195,125,12,0
4,160016,O2,12,True,12,6886.891188654944,25434.455943274716,294,12,0
4,160016,O3,12,True,12,5054.152331624246,22230.761658121224,94,12,0
4,160016,O0,12,True,12,1723.4823775527584,8317.411887763792,0,12,0
4,160017,G25OR,13,True,13,7347.945815755287,28134.729078776432,278,13,0
4,160017,O1,13,True,13,6021.430053379671,26752.150266898363,103,13,0
4,160017,O2,13,True,13,6818.072927899162,26955.364639495812,231,13,0
4,160017,O3,13,True,13,5016.312161062846,23161.560805314224,56,13,0
4,160017,O0,13,True,13,1727.6802555154752,8313.401277577377,0,13,0
4,160018,G25OR,16,True,16,10328.022616076658,36315.113080383315,510,16,0
4,160018,O1,16,True,16,9729.022616076656,36315.113080383315,410,16,0
