family,n_sources,seed,method,success,cleared,virtual_time_s,distance_m,measure_calls,switches,failed_clear,solver_failures,optical_fallbacks,opportunistic_measure_count,opportunistic_direction_count,opportunistic_no_signal_count,legs_selected,became_clear_ready_count,zero_detour_clear_count,clear_ready_count,coverage_move_m,opportunity_move_m,resolver_move_m,clear_move_m,coverage_measure_count,resolver_measure_count,clear_calls
uniform,12,123035,G21A,True,12,7074.851948522615,28224.259742613067,231,215,0,0,0,12,12,0,7,1,0,0,13305.317368582519,4603.6126963133265,9181.32691751689,1134.002760200332,206,13,12
uniform,12,123036,G25OR-S21,True,12,6708.812041073286,26229.060205366444,235,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
uniform,12,123036,G21A,True,12,7088.1462833893065,28410.731416946535,227,211,0,0,0,12,12,0,6,2,0,0,14013.654631210858,3709.7242497909074,9167.240832243166,1520.1117037016052,204,11,12
uniform,12,123037,G25OR-S21,True,12,6803.950964820648,26704.754824103235,235,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
uniform,12,123037,G21A,True,12,7068.18206362896,28210.910318144808,230,216,0,0,0,12,12,0,7,1,0,0,13831.705205629334,3908.9449510509316,9879.015107473675,591.2450539908664,207,11,12
uniform,12,123038,G25OR-S21,True,12,6615.317982750613,25736.589913753058,235,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
uniform,12,123038,G21A,True,12,6855.115881000849,27350.579405004242,223,210,0,0,0,12,12,0,8,1,0,0,12503.114619896129,5405.815444999716,8842.14812563702,599.5012144713764,200,11,12
uniform,12,123039,G25OR-S21,True,12,6616.938957032366,26084.69478516183,225,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
uniform,12,123039,G21A,True,12,6761.691779502835,26948.458897514167,221,207,0,0,0,12,12,0,7,4,0,0,13450.864482424024,4136.084941938692,5347.547990500345,4013.961482651106,201,8,12
uniform,12,123040,G25OR-S21,True,12,6355.722253343254,24343.611266716267,239,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
uniform,12,123040,G21A,True,12,6905.003885971295,27275.01942985647,234,220,0,0,0,12,12,0,7,4,0,0,11901.416744014725,5210.124873302901,6694.493781913825,3468.9840306250203,214,8,12
uniform,12,123041,G25OR-S21,True,12,6641.568977866326,26037.844889331638,230,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
uniform,12,123041,G21A,True,12,7122.632184724328,28628.160923621643,225,212,0,0,0,12,12,0,8,3,0,0,13016.164061402676,4892.766003493169,7604.45306485601,3114.7777938697873,204,9,12
uniform,12,123042,G25OR-S21,True,12,5802.055325507988,22100.27662753994,222,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
uniform,12,123042,G21A,True,12,6704.369582640825,26846.84791320412,215,200,0,0,0,12,12,0,6,3,0,0,14195.30517292926,3341.894554706116,7949.195115784056,1360.4530697846885,194,9,12
uniform,12,123043,G25OR-S21,True,12,7039.213435637248,27856.067178186233,236,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
uniform,12,123043,G21A,True,12,6827.60975400815,27193.04877004075,224,209,0,0,0,12,12,0,6,2,0,0,14060.03861074843,3115.3694438984453,8154.269877231745,1863.3708381621298,203,9,12
uniform,12,123044,G25OR-S21,True,12,6245.326589970799,24366.632949854004,220,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
uniform,12,123044,G21A,True,12,6317.489263412886,25052.446317064423,210,197,0,0,0,12,12,0,8,5,0,0,11122.780681471084,5495.823183788668,5680.029670250755,2753.812781553917,191,7,12
uniform,13,123045,G25OR-S21,True,13,6238.739653103915,24618.698265519575,210,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
