kind,mode,seed,method,sources,success,cleared,virtual_time_s,distance_m,measure_calls,switches,failed_clear,optical_fallbacks,solver_failures,extra_measurements,dynamic_absent_channels,dynamic_absent_cells,wall_s
edge,3,96014,Full_Q4,11,True,11,4918.740513663804,20083.702568319022,144,127,0,0,0,29,0,0,0.13829278945922852
edge,4,96000,G25OR,13,True,13,9586.69574333151,33548.47871665755,479,417,0,0,0,71,0,0,0.10299277305603027
edge,4,96000,Full_noQ4,13,True,13,9573.69574333151,33548.47871665755,477,414,0,0,0,69,0,0,0.18816065788269043
edge,4,96000,Full_Q4,13,True,13,9573.69574333151,33548.47871665755,477,414,0,0,0,69,0,2166,1.8836512565612793
edge,4,96001,G25OR,16,True,16,10236.69266026009,36868.46330130044,479,388,0,0,0,101,0,0,0.09773564338684082
edge,4,96001,Full_noQ4,16,True,16,10520.488315349088,36987.44157674545,521,438,0,0,0,95,0,0,0.1437077522277832
edge,4,96001,Full_Q4,16,True,16,10520.488315349088,36987.44157674545,521,438,0,0,0,95,0,2365,4.121776580810547
edge,4,96002,G25OR,14,True,14,9708.363417108636,34281.81708554319,475,407,0,0,0,78,0,0,0.21122193336486816
edge,4,96002,Full_noQ4,14,True,14,9695.363417108636,34281.81708554319,473,404,0,0,0,76,0,0,0.6017088890075684
edge,4,96002,Full_Q4,14,True,14,9695.363417108636,34281.81708554319,473,404,0,0,0,76,0,2061,1.936629056930542
edge,4,96003,G25OR,16,True,16,9153.050685306876,31800.25342653437,460,413,0,0,0,63,0,0,0.13160181045532227
edge,4,96003,Full_noQ4,16,True,16,8454.649374326616,29328.246871633088,426,379,0,0,0,55,0,0,0.24568986892700195
edge,4,96003,Full_Q4,16,True,16,8454.649374326616,29328.246871633088,426,379,0,0,0,55,0,1886,1.917832374572754
edge,4,96004,G25OR,11,True,11,9359.839032996179,31724.195164980913,503,445,0,0,0,55,0,0,0.07211089134216309
edge,4,96004,Full_noQ4,11,True,11,9359.839032996179,31724.195164980913,503,445,0,0,0,55,0,0,0.11968111991882324
edge,4,96004,Full_Q4,11,True,11,9359.839032996179,31724.195164980913,503,445,0,0,0,55,0,2530,2.081876277923584
edge,4,96005,G25OR,12,True,12,9317.264963044858,32661.32481522427,465,400,0,0,0,71,0,0,0.10685992240905762
edge,4,96005,Full_noQ4,12,True,12,9305.264963044858,32661.32481522427,463,398,0,0,0,69,0,0,0.31763243675231934
edge,4,96005,Full_Q4,12,True,12,9305.264963044858,32661.32481522427,463,398,0,0,0,69,0,2021,4.770928144454956
edge,4,96006,G25OR,12,True,12,9688.021721511986,33760.10860755994,489,431,0,0,0,56,0,0,0.18842124938964844
edge,4,96006,Full_noQ4,12,True,12,9172.929375489464,31444.646877447332,480,424,0,0,0,61,0,0,0.32537293434143066
edge,4,96006,Full_Q4,12,True,12,9172.929375489464,31444.646877447332,480,424,0,0,0,61,0,2303,7.360853672027588
edge,4,96007,G25OR,16,True,16,9979.231217331231,35806.15608665617,469,393,0,0,0,82,0,0,0.22888994216918945
edge,4,96007,Full_noQ4,16,True,16,9973.231217331231,35806.15608665617,468,392,0,0,0,81,0,0,0.58563232421875
edge,4,96007,Full_Q4,16,True,16,9973.231217331231,35806.15608665617,468,392,0,0,0,81,0,2014,3.8974738121032715
edge,4,96008,G25OR,11,True,11,8837.485764000132,29972.428820000656,472,428,0,0,0,44,0,0,0.1284945011138916
edge,4,96008,Full_noQ4,11,True,11,8834.987888322305,29989.939441611517,471,427,0,0,0,43,0,0,0.14113330841064453
edge,4,96008,Full_Q4,11,True,11,8834.987888322305,29989.939441611517,471,427,0,0,0,43,0,2352,3.5451784133911133
edge,4,96009,G25OR,16,True,16,9831.520682346756,34707.603411733806,481,405,0,0,0,89,0,0,0.24079012870788574
