mode,seed,kind,sources,success,cleared,virtual_time_s,time_per_source_s,distance_m,measures,switches,clear_calls,failed_clear,cost_identity_error_s
3,260122,uniform,16,True,16,3747.961829417868,234.24761433861676,15299.809147089341,103,90,17,1,0.0
3,260123,edge,11,True,11,3698.4036418257133,336.21851289324667,13972.018209128566,144,129,11,0,0.0
3,260124,uniform,15,True,15,3510.591293195538,234.0394195463692,14377.956465977693,95,85,15,0,-4.547473508864641e-13
3,260125,uniform,10,True,10,2887.908267155864,288.7908267155864,10979.541335779322,108,102,10,0,-4.547473508864641e-13
3,260126,edge,15,True,15,4335.587244135724,289.03914960904825,17202.936220678625,140,120,15,0,-9.094947017729282e-13
3,260127,uniform,10,True,10,3290.3234530465634,329.03234530465636,12851.617265232815,113,105,10,0,4.547473508864641e-13
3,260128,uniform,12,True,12,3281.387537896312,273.44896149135934,13056.937689481563,103,95,12,0,-4.547473508864641e-13
3,260129,edge,13,True,13,4433.978113544588,341.0752395034299,18044.89056772294,130,110,13,0,0.0
3,260130,uniform,11,True,11,3375.63895783616,306.87626889419636,13258.194789180803,113,104,11,0,-4.547473508864641e-13
3,260131,uniform,11,True,11,3187.6147993186014,289.7831635744183,12218.07399659301,117,104,11,0,-4.547473508864641e-13
3,260132,edge,13,True,13,4017.6701975676924,309.05155365905324,15803.350987838458,135,117,13,0,9.094947017729282e-13
3,260133,uniform,13,True,13,3704.515143872631,284.9627033748178,15167.575719363149,103,91,13,0,1.3642420526593924e-12
3,260134,uniform,16,True,16,3944.3956995031776,246.5247312189486,15981.978497515896,114,98,16,0,-1.8189894035458565e-12
3,260135,edge,15,True,15,4352.401149005159,290.1600766003439,17377.005745025792,137,117,15,0,9.094947017729282e-13
3,260136,uniform,16,True,16,3440.7314119358075,215.04571324598797,14428.657059679032,81,70,16,0,1.3642420526593924e-12
3,260137,uniform,10,True,10,3043.681249751069,304.3681249751069,11503.406248755342,117,108,10,0,9.094947017729282e-13
3,260138,edge,14,True,14,3896.262225718304,278.30444469416454,15186.311128591522,134,119,14,0,-4.547473508864641e-13
3,260139,uniform,15,True,15,3029.1852891062226,201.94568594041485,12295.926445531113,84,75,15,0,0.0
3,260140,uniform,16,True,16,3030.8727039403334,189.42954399627084,11934.363519701668,96,84,16,0,-4.547473508864641e-13
3,260141,edge,10,True,10,4049.6156951789844,404.96156951789845,16128.078475894921,132,114,10,0,0.0
3,260142,uniform,14,True,14,3265.8868460718536,233.27763186227526,13319.434230359264,90,82,14,0,9.094947017729282e-13
3,260143,uniform,10,True,10,3282.1743706090256,328.21743706090257,12745.871853045132,115,108,10,0,-9.094947017729282e-13
3,260144,edge,11,True,11,4336.623003117016,394.23845482881967,17558.11501558508,131,115,11,0,0.0
3,260145,uniform,15,True,15,3953.785676813514,263.5857117875676,16363.928384067573,104,86,15,0,-4.547473508864641e-13
3,260146,uniform,12,True,12,3071.3663291503,255.94719409585832,12151.831645751496,98,91,12,0,9.094947017729282e-13
3,260147,edge,16,True,16,3917.365573996444,244.83534837477774,15436.827869982215,128,110,16,0,9.094947017729282e-13
3,260148,uniform,15,True,15,2957.115317230956,197.1410211487304,11635.576586154775,94,85,15,0,9.094947017729282e-13
3,260149,uniform,13,True,13,3286.5337671586494,252.81028978143456,13237.668835793245,97,89,13,0,4.547473508864641e-13
3,260150,edge,14,True,14,4417.183120592314,315.5130800423081,17980.91560296157,128,111,14,0,0.0
3,260151,uniform,12,True,12,3295.3385839122584,274.61154865935487,13016.692919561287,107,97,12,0,9.094947017729282e-13
3,260152,uniform,11,True,11,3105.7990245038195,282.3453658639836,12153.995122519094,105,95,11,0,4.547473508864641e-13
3,260153,edge,12,True,12,3866.5830676962723,322.215255641356,15207.915338481358,130,115,12,0,9.094947017729282e-13
3,260154,uniform,15,True,15,3374.0020723982707,224.93347149321804,13585.01036199135,99,87,15,0,9.094947017729282e-13
3,260155,uniform,12,True,12,3204.9645872100496,267.08038226750415,12784.822936050252,100,88,12,0,-9.094947017729282e-13
3,260156,edge,10,True,10,3790.9519555137053,379.0951955513705,14524.759777568524,142,126,10,0,4.547473508864641e-13
3,260157,uniform,12,True,12,3386.88535249007,282.2404460408392,13449.426762450348,108,97,12,0,4.547473508864641e-13
3,260158,uniform,10,True,10,3283.6744825076426,328.36744825076426,12633.372412538214,120,107,10,0,-4.547473508864641e-13
