seed,mode,variant,kind,sources,cleared,virtual_s,distance_m,measure_calls,switches,failed_clear,clear_calls,visited,opportunistic,wall_s
91036,4,G31,edge,12,12,11873.805560974733,45884.027804873724,455,362,0,12,31,0,0.00608515739440918
91037,4,G31,edge,15,15,12558.082019609012,47455.41009804509,513,427,0,15,31,0,0.007216930389404297
91038,4,G31,edge,13,13,12174.075699576288,45560.37849788146,512,437,0,13,31,0,0.008397340774536133
91039,4,G31,edge,11,11,12106.955749439388,45074.778747196964,519,442,0,11,31,0,0.00608372688293457
91040,4,G31,edge,12,12,12293.08639177906,45880.4319588953,524,437,0,12,31,0,0.006290435791015625
91041,4,G31,edge,11,11,11636.625446791802,43748.127233959,484,412,0,11,31,0,0.005623817443847656
91042,4,G31,edge,15,15,12614.815958083822,47939.07979041912,507,417,0,15,31,0,0.0072786808013916016
91043,4,G31,edge,14,14,13268.043176512132,49105.2158825607,579,482,0,14,31,0,0.008260488510131836
91044,4,G31,edge,12,12,11460.554676461765,43642.773382308835,459,377,0,12,31,0,0.005657672882080078
91045,4,G31,edge,10,10,12040.80687932281,44819.03439661406,519,432,0,10,31,0,0.005515098571777344
91046,4,G31,edge,16,16,13098.695779293219,49048.47889646609,551,454,0,16,30,0,0.008988618850708008
91047,4,G31,edge,11,11,11610.620932257103,44278.10466128551,463,385,0,11,31,0,0.005560636520385742
91048,4,G31,edge,16,16,12175.478950830802,46187.394754154004,493,393,0,16,28,0,0.008545398712158203
91049,4,G31,edge,15,15,12029.536014230696,46157.6800711535,470,373,0,15,31,0,0.0073986053466796875
91050,4,G31,edge,16,16,12446.205505475264,47091.02752737635,508,408,0,16,30,0,0.008485078811645508
91051,4,G31,edge,16,16,11845.453977219257,45457.269886096285,463,359,0,16,28,0,0.008673667907714844
91052,4,G31,edge,12,12,11869.41708468913,44407.08542344567,501,423,0,12,31,0,0.006262063980102539
91053,4,G31,edge,14,14,12632.619234425354,47913.09617212677,513,415,0,14,31,0,0.006785869598388672
91054,4,G31,edge,13,13,12298.644301443854,47018.22150721928,486,400,0,13,31,0,0.006279945373535156
91055,4,G31,edge,10,10,12136.379291044488,45126.89645522244,523,446,0,10,31,0,0.0066890716552734375
91056,4,G31,edge,16,16,11370.994474703653,43284.97237351824,455,359,0,16,28,0,0.007629871368408203
91057,4,G31,edge,13,13,11515.107038270202,45380.53519135103,407,339,0,13,31,0,0.005912303924560547
91058,4,G31,edge,10,10,12021.565462739514,43687.82731369759,551,479,0,10,31,0,0.0049707889556884766
91059,4,G31,edge,16,16,11715.190057221283,45255.95028610647,445,359,0,16,30,0,0.007520198822021484
91060,4,G31,edge,14,14,11618.483691993075,44952.41845996541,441,353,0,14,31,0,0.0069010257720947266
91061,4,G31,edge,14,14,11729.738887814847,45283.69443907425,449,358,0,14,31,0,0.006442546844482422
91062,4,G31,edge,15,15,12469.043110734316,48620.21555367156,462,360,0,15,31,0,0.007394313812255859
91063,4,G31,edge,10,10,11268.799587951458,42538.99793975737,462,401,0,10,31,0,0.004683256149291992
91064,4,G31,edge,14,14,12468.37887963304,47241.89439816526,507,415,0,14,31,0,0.006555318832397461
91065,4,G31,edge,11,11,12035.10695988512,44680.534799425586,521,439,0,11,31,0,0.006014108657836914
91066,4,G31,edge,15,15,13448.17822960684,50510.8911480342,563,456,0,15,31,0,0.007743358612060547
91067,4,G31,edge,13,13,11937.953376060568,44789.7668803029,499,420,0,13,31,0,0.0073549747467041016
91068,4,G31,edge,14,14,11906.223544551325,46836.117722756644,425,344,0,14,31,0,0.00638890266418457
91069,4,G31,edge,15,15,12520.508253563621,50052.541267818124,421,330,0,15,31,0,0.006982088088989258
91070,4,G31,edge,14,14,11891.11038187659,45955.55190938298,453,365,0,14,31,0,0.007889032363891602
91071,4,G31,edge,13,13,11790.874951476877,45549.37475738438,449,371,0,13,31,0,0.0059740543365478516
91072,4,G31,edge,12,12,11789.69841216522,45358.49206082612,455,383,0,12,31,0,0.007634878158569336
91073,4,G31,edge,10,10,11915.929832881937,44144.6491644097,520,437,0,10,31,0,0.0064089298248291016
91074,4,G31,edge,11,11,11824.662414148985,43608.31207074492,521,443,0,11,31,0,0.005826711654663086
91075,4,G31,edge,14,14,12090.410605402087,47052.053027010435,450,360,0,14,31,0,0.008378267288208008
91076,4,G31,edge,10,10,12199.483156002085,44387.41578001044,559,477,0,10,31,0,0.005285978317260742
91077,4,G31,edge,11,11,12547.374223434608,45541.871117173076,578,494,0,11,31,0,0.006399631500244141
91078,4,G31,edge,10,10,12384.03560244736,45970.17801223681,538,450,0,10,31,0,0.0053327083587646484
91079,4,G31,edge,11,11,11923.498643530836,44517.493217654206,507,430,0,11,31,0,0.0054779052734375
