group,problem,run_id,case_code,sources,cleared,full_clear,virtual_time_s,avg_clear_time_s,program_run_s,measure_calls,switches,clear_failures,end_reason
G25O,3,104,SWRU-ZKQE-4D3C-6763,16,16,1,4355.62842,272.226776,1.269,116,113,0,user_exit
G25O,3,105,CZRG-WP5H-ANM7-R79N,11,11,1,4089.332819,371.757529,1.531,105,103,0,user_exit
G25O,3,106,N8WF-Q8B4-9Y4Z-DZ68,14,14,1,3558.839016,254.202787,1.384,93,91,0,user_exit
G25O,3,107,XZ55-MM58-YFWY-VY8G,13,13,1,3926.885845,302.068142,1.454,108,105,3,user_exit
G25O,3,108,B54M-FEK2-DCRK-XNUH,10,10,1,3948.757128,394.875713,1.431,119,115,0,user_exit
G25O,3,109,Y2PR-NAQV-XECA-ZF5C,12,12,1,4113.870796,342.822566,1.399,103,101,1,user_exit
G25O,3,110,WDDA-3JSH-UBGN-MXD2,15,15,1,4328.385221,288.559015,1.447,111,105,0,user_exit
G25O,3,111,7FY7-X9UA-42PW-E64Z,12,12,1,3894.315051,324.526254,1.279,116,115,1,user_exit
G25O,3,112,UAWK-8QG7-3C96-K6AZ,14,14,1,5026.469924,359.033566,1.276,110,100,0,user_exit
G25O,3,113,RSXZ-4QM8-69ZZ-MKHY,16,16,1,4233.86704,264.61669,1.141,95,87,1,user_exit
G25O,3,114,6HUU-MXX5-4PB8-NH9V,12,12,1,3802.532245,316.877687,1.055,113,110,0,user_exit
G25O,3,115,S2HN-6ZDG-9Q5G-ZYY8,13,13,1,4423.011669,340.231667,1.354,111,108,0,user_exit
G25O,3,116,82Y6-SQA9-8ZGQ-G9X2,14,14,1,4559.565164,325.683226,1.217,102,99,2,user_exit
G25O,3,117,R4DR-U42N-9CHX-KK5S,13,13,1,4000.129395,307.702261,1.499,108,102,0,user_exit
G25O,3,118,QSET-CSTJ-GM79-9M5X,11,11,1,4287.226531,389.747866,1.493,114,110,0,user_exit
G25O,3,119,53FW-6X67-YKTC-H83Y,12,12,1,3947.214371,328.934531,1.519,112,108,0,user_exit
G25O,3,120,GBDQ-YPA2-UNWX-Q2VD,15,15,1,4502.430685,300.162046,1.61,109,101,2,user_exit
G25O,3,121,CZ4M-GJ7J-XU62-54MW,10,10,1,3992.947408,399.294741,1.518,122,118,0,user_exit
G25O,3,122,65DW-6AF4-X5TK-VP2P,12,12,1,4192.917147,349.409762,1.054,116,112,0,user_exit
G25O,3,123,V5H5-YZ8U-TTVR-RF95,11,11,1,4330.719388,393.701763,1.128,113,109,0,user_exit
G25O,3,124,2YMT-KH55-FBVD-3YYJ,15,15,1,4403.455442,293.563696,1.181,108,103,1,user_exit
G25O,3,125,Y57V-CWGF-BQPW-29WH,16,16,1,5139.920129,321.245008,1.396,118,109,0,user_exit
G25O,3,126,2P2K-HCCF-D774-RTS2,11,11,1,3956.533045,359.684822,1.544,123,120,0,user_exit
G25O,3,127,JRB2-VK64-TCWF-CVAC,11,11,1,4158.110393,378.010036,1.142,112,110,0,user_exit
G25O,3,128,R2XH-XDGM-APK4-XMZT,16,16,1,4338.592355,271.162022,1.321,98,95,2,user_exit
G25O,3,129,Z5F2-PQFR-9BUD-T43V,11,11,1,4151.89164,377.444695,1.136,116,112,0,user_exit
G25O,3,130,NQAK-P8AZ-RN37-H875,13,13,1,4256.183578,327.398737,1.249,110,107,1,user_exit
G25O,3,131,KSWR-Y44V-V5DW-V78P,12,12,1,3819.107618,318.258968,1.293,116,110,2,user_exit
G25O,3,132,CWZJ-Q6JT-WRAA-U5YS,12,12,1,4225.87885,352.156571,1.098,108,103,1,user_exit
G25O,3,133,AB6X-FQA3-VDNP-GDBV,16,16,1,3860.388536,241.274283,1.041,94,86,0,user_exit
G25O,3,134,ZH7P-Y2TW-RH2G-9SBE,14,14,1,4425.884524,316.134609,1.141,99,97,4,user_exit
G25O,3,135,5N48-ANW2-2BDT-A4XA,14,14,1,3873.118347,276.651311,1.229,99,96,1,user_exit
G25O,3,136,7WZ2-4WYB-CMZ3-C9ZV,16,16,1,4362.554155,272.659635,1.336,99,90,1,user_exit
G25O,3,137,9B4R-B4BK-HBEP-ZFXD,13,13,1,3918.726612,301.440509,1.479,112,107,0,user_exit
G25O,3,138,4B8J-7K4R-XQKA-KBYT,15,15,1,4183.848514,278.923234,1.263,109,106,1,user_exit
G25O,3,139,58SY-QKBB-HYY9-YJYN,15,15,1,4743.405811,316.227054,1.44,103,95,0,user_exit
G25O,3,140,VHCC-9FSZ-ZEMV-SKBD,14,14,1,4317.005043,308.357503,1.455,122,116,0,user_exit
G25O,3,141,CZZG-WD7R-2XZX-KCR4,14,14,1,4860.455279,347.175377,1.226,113,106,0,user_exit
G25O,3,142,HKXF-V49N-XWZ8-3WEA,12,12,1,3977.641642,331.470137,1.295,112,108,0,user_exit
G25O,3,143,BG95-YAJQ-NVB9-YQN7,13,13,1,4092.723485,314.824883,1.552,122,117,0,user_exit
G25O,3,144,5GF8-ZQN4-9UJW-E3KQ,14,14,1,4159.173119,297.083794,1.503,107,100,0,user_exit
G25O,3,145,B3MC-PK4J-3U5J-TV7C,14,14,1,4285.598428,306.114173,1.255,104,99,1,user_exit
G25O,3,146,STH3-WWV8-MUWP-P7SA,13,13,1,3896.935957,299.764304,1.561,109,106,1,user_exit
G25O,3,147,KRQA-324E-RWY3-H6Z6,15,15,1,3931.673897,262.111593,1.309,99,96,1,user_exit
G25O,3,148,7KWE-AB98-AMH7-6MPG,11,11,1,4048.841209,368.076474,1.4,120,115,0,user_exit
G25O,3,149,ZXY7-N6JV-PJPC-3E7M,14,14,1,4035.142971,288.224498,1.548,118,113,0,user_exit
G25O,3,150,FGBZ-CURN-QYJD-CTCP,13,13,1,4751.371959,365.490151,1.204,110,101,2,user_exit
G25O,3,151,6ETY-QYWS-272A-PUAA,14,14,1,4339.965521,309.997537,1.625,108,104,1,user_exit
G25O,3,152,3GNF-2KPF-GB7J-WX6G,16,16,1,4336.739671,271.046229,1.551,113,106,0,user_exit
G25O,3,153,55BY-H8JP-B8GY-35WV,10,10,1,3749.925812,374.992581,1.543,114,111,1,user_exit
G25O,3,154,WMXB-6Y5P-C9YH-9RBH,14,14,1,4479.361797,319.954414,1.65,106,99,2,user_exit
G25O,3,155,46PE-DPNR-A7YQ-535Y,10,10,1,3587.240675,358.724067,1.354,114,110,0,user_exit
G25O,3,156,YQBZ-MQP8-W8T8-MVET,16,16,1,3987.190781,249.199424,1.415,96,88,0,user_exit
G25O,3,157,PFSB-NRMV-T733-3THU,15,15,1,4117.97174,274.531449,1.177,99,95,2,user_exit
G25O,3,158,9E34-SAUB-3CU2-T9KF,13,13,1,4276.293128,328.945625,1.564,110,107,0,user_exit
G25O,3,159,3EJQ-VV4G-F7PS-TKV4,10,10,1,4227.915068,422.791507,1.253,123,115,2,user_exit
G25O,3,160,4C7D-HNFG-RDSQ-6G5Y,14,14,1,3625.19905,258.942789,1.49,100,97,1,user_exit
G25O,3,161,VJWT-YR3F-PREU-YWYC,13,13,1,4253.416806,327.185908,1.519,107,105,0,user_exit
G25O,3,162,T52P-FCCF-JFPY-5MQX,12,12,1,4144.027674,345.33564,1.536,111,105,0,user_exit
G25O,3,163,MXD3-XNYM-4GFW-C7V7,14,14,1,4293.68512,306.691794,1.221,108,101,0,user_exit
G25O,3,164,3MWQ-VN5E-PP47-CYSH,11,11,1,3779.598235,343.59984,1.446,113,110,1,user_exit
G25O,3,165,H7J7-FC55-8WJ6-PSN6,14,14,1,3924.563022,280.32593,1.289,103,101,0,user_exit
G25O,3,166,5V78-6JJP-DVDK-3VK2,14,14,1,4121.954099,294.425293,1.348,108,103,1,user_exit
G25O,3,167,EX74-N3T2-DXAU-XK97,13,13,1,4340.52499,333.886538,1.218,112,107,0,user_exit
G25O,3,168,YBFS-C5UU-WH49-UJUY,15,15,1,4152.249359,276.816624,1.255,99,96,1,user_exit
